model_id,regime,n,format_ok_rate,exact_among_ok,exact_strict,within1,within2,mae,rmse,subj_acc,pred_acc,both_roles_acc,consistency_zero_var_rate,mean_run_stddev,r2_count_matches_own_parse
llama-70b,conllu_input,1920,1.0,0.5958,0.5958,0.6745,0.799,1.795,4.26,0.7333,0.5443,0.5078,0.8344,0.372,
llama-70b,raw_text,1920,0.9938,0.2091,0.2078,0.4266,0.5535,3.601,5.92,0.4839,0.1786,0.1062,0.6557,0.324,
llama-70b,raw_to_conllu,1920,0.9948,0.2613,0.2599,0.4382,0.5754,3.348,5.583,0.6609,0.2604,0.2005,0.4028,1.254,0.6057
llama-8b,conllu_input,1920,1.0,0.0417,0.0417,0.5161,0.6031,3.555,6.313,0.599,0.4505,0.3536,0.7969,0.717,
llama-8b,raw_text,1920,0.999,0.0803,0.0802,0.2946,0.5,3.995,6.207,0.3792,0.1115,0.0516,0.4297,0.769,
llama-8b,raw_to_conllu,1920,0.9313,0.0822,0.0766,0.4066,0.566,4.27,7.344,0.4583,0.3031,0.1802,0.2296,2.278,0.0501
qwen-72b,conllu_input,1920,0.9974,0.6491,0.6474,0.7107,0.8397,1.239,2.803,0.7495,0.5464,0.5161,0.9702,0.051,
qwen-72b,raw_text,1920,1.0,0.2526,0.2526,0.4938,0.6802,2.718,4.899,0.5714,0.2078,0.1552,0.6609,0.386,
qwen-72b,raw_to_conllu,1920,0.999,0.391,0.3906,0.5631,0.7112,2.336,4.65,0.6547,0.4125,0.3203,0.4844,1.218,0.3694
qwen-7b,conllu_input,1920,0.9828,0.239,0.2349,0.5151,0.6317,3.426,6.342,0.6542,0.3776,0.3214,0.9682,0.08,
qwen-7b,raw_text,1920,1.0,0.0745,0.0745,0.2031,0.3542,6.011,9.531,0.4068,0.0703,0.0281,0.825,0.282,
qwen-7b,raw_to_conllu,1920,0.9865,0.1225,0.1208,0.4282,0.5491,4.471,8.037,0.5266,0.2786,0.2135,0.643,1.181,0.0344
